"","Surface_1","Pseudoalteromonadaceae","Flavobacteriaceae","ZD0405","Porticoccaceae","Oceanospirillaceae","Piscirickettsiaceae","Rhodobacteraceae","Colwelliaceae","SAR86_clade","NS9_marine_group","PS1_clade","Chesapeake-Delaware_Bay","SAR116_clade","Spongiibacteraceae","Verrucomicrobiaceae","Alteromonadaceae","Cryomorphaceae","Unknown_Family","Surface_4","Methylophilaceae","Surface_2","Puniceicoccaceae","Flammeovirgaceae","OM182_clade","Rhodospirillaceae","Mitochondria","Cellvibrionaceae","Halieaceae","Burkholderiaceae","Emcibacteraceae","OCS116_clade","Deep_1","Alcanivoracaceae","NS7_marine_group","Lentisphaeraceae","Cytophagaceae","Nitrospinaceae","NS11-12_marine_group","Idiomarinaceae","Comamonadaceae","Nitrosomonadaceae","Sva0996_marine_group","Chitinophagaceae","Litoricolaceae","Caulobacteraceae","Opitutaceae","Rubritaleaceae","Sphingomonadaceae","Microbacteriaceae","Blfdi19","AT-s3-44","Bacteriovoracaceae","Mycobacteriaceae","Elev-16S-1332","Rickettsiaceae"
"433238R202b",599831.026040573,6476.92978712859,161149.268254226,18584.2550870598,16565.8588384971,5105.23904357593,253.921809296399,10114.8619269843,270.849929916159,11671.9391673245,3238.9137452474,6339.58117210009,3199.41479713462,2429.18530893555,0,91.1514187217843,25.7601835518086,1086.22107310126,2192.19162025891,4088.14112967202,8946.51174754311,3258.66321930378,683.635640413379,118.496844338319,138.246318394706,2073.69477592059,1007.22317687572,0,0,0,0,236.993688676639,0,0,0,0,0,0,78.9978962255461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433246R202b",313449.476314844,3952.90574880232,98598.1503102665,5930.36445163829,18967.0504849839,6668.81495052034,108.38314562848,16519.9015036726,1062.1548271591,6676.40177071433,1618.52164138529,3338.20088535716,2920.92577468752,2996.79397662745,0,0,518.432713256228,885.129022632581,1365.62763491884,1934.63914946836,5272.84003482553,4779.69672221594,262.620699022854,0,126.447003233226,1555.29813976868,796.616120369324,0,166.910044267858,0,0,417.275110669646,1517.36403879871,0,0,0,0,0,113.802302909903,0,0,0,0,0,0,0,0,0,0,303.472807759742,0,0,0,0,0,0
"433310R202b",364780.843786233,2886.5003021333,91890.538164698,20107.4318769972,23577.2984398419,3284.51044303457,0,16238.0204215939,38.1304017895017,16637.5653141526,2787.75604194356,13167.6987513079,1201.1076563693,2802.58453152837,0,0,135.390557078665,2135.3025002121,4226.11953166978,2758.09906277396,4582.00328170512,2891.55546903721,376.415504845081,35.5883750035349,207.598854187287,3358.6528909586,533.825625053024,0,0,0,0,177.941875017675,2179.78796896651,0,118.62791667845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433318R202b",593068.456654398,260.460455272023,195843.802368781,9406.96344290789,12357.9804011399,2427.34674288233,250.124722919959,31965.9038256496,47.7510834665376,12065.1070892118,3199.32259225802,10552.9894461048,1766.79008826189,4584.10401278761,0,0,0,1862.29225519497,3294.8247591911,4297.59751198839,6780.65385224835,6732.90276878181,404.047629332241,238.755417332688,95.5021669330753,2817.31392452572,573.013001598452,0,0,0,0,0,0,0,159.170278221792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433434R202b",449598.307271699,25567.5851034562,19933.3826384207,13842.127123016,5946.09634675644,6469.68985097487,13526.88199185,12222.3824432403,176.250686970079,6018.31614044173,3761.44758777608,7583.07833695658,1023.11374387509,2979.06648951866,0,1550.87377465229,148.277354184796,3300.04335034221,12066.7238615857,4002.18023339375,3279.98229654074,4303.09604041585,2152.70538869647,210.64106491546,1283.90744329424,5687.30875271743,0,0,0,0,0,60.1831614044173,631.923194746382,0,240.732645617669,331.007387724295,0,210.641064915461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433442R202b",429104.303307601,38146.7237459285,11252.269666056,9138.24140316165,3773.20935356352,3133.42327683082,7798.46509913094,6228.65233195204,56.1489487137426,6834.57481287836,1910.62394928708,9039.98074291259,917.099495657799,3308.10889505135,0,1536.8975064595,213.610130976195,2139.89882320153,10153.6015590685,3537.3837689658,2620.284273308,5797.37895469395,1889.6280817125,19.65213204981,917.099495657798,3897.67285654565,0,0,91.7099495657799,0,0,0,1703.1847776502,0,76.4249579714831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433561R202b",149473.941011257,39471.9672982422,24684.5105564114,4680.03635810083,5504.53373815615,8012.66152645964,277.567911903868,6868.67596269551,644.44028242028,3066.52201803358,2517.42027926724,608.235772171951,3015.83570368592,3548.04200433638,0,311.915780601,402.184885584714,1474.12697561119,1368.53048738689,582.892614998119,1774.02100216819,2306.22730281865,77.9789451502502,258.500203173079,152.058943042988,1812.03573792894,0,0,162.19620591252,0,0,684.265243693444,1545.93258760371,0,33.7908762317749,101.372628695325,0,329.461043259807,202.74525739065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433569R202b",170048.83554896,92227.1721407161,102129.609552767,5384.96778205339,14761.1469790404,29564.5289995088,402.238489789235,15163.7943246389,3341.09345581183,4293.89587850009,6599.22522310464,791.907026772557,4012.32893564762,6968.7818355985,0,162.442467030268,1245.24510731626,4100.31860528902,1214.25744105125,633.525621418045,4751.44216063534,2956.45289995088,162.442467030268,527.938017848371,510.340083920092,1003.0822339119,422.350414278697,0,295.645289995088,0,0,0,0,0,105.587603569674,0,0,0,897.494630342231,0,0,0,0,0,0,0,0,0,0,422.350414278697,0,0,0,0,0,0
"433635R202b",445344.10892806,91889.2081827996,17582.5800969028,12651.8212763654,6013.33623017835,5846.29911267339,7394.99544258142,10668.051542495,411.095593293664,6863.40631332237,2877.66915305565,12602.2062909678,992.299707950223,3175.35906544071,0,5648.47526063973,1449.02536063496,4382.65704344681,17266.0149183339,3572.2789486208,1637.29451811787,4018.8138171984,1641.11105545614,0,1802.67780277624,2679.20921146561,0,0,0,0,0,0,545.764839372623,0,0,297.689912385067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433643R202b",585612.867046976,23993.8150303115,32103.4325543568,9575.68863780808,3930.72737697937,4291.04405320247,6956.763532273,19607.269722039,93.5887470709374,7675.83707226804,6420.18804906631,10481.939671945,1506.77882784209,3210.09402453315,0,4863.0152804937,827.986801297754,2675.07835377763,14019.5943112264,5961.60318841871,3046.31371715901,7042.55321708803,1108.6666960711,353.765463928144,1484.94145352554,5306.48195892215,0,0,117.921821309381,0,0,0,1768.82731964072,0,120.105558741036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433938R102b",181630.555056472,2395.86871998758,23270.51807383,12670.7062038077,6983.42296037124,10448.3452731444,89.568644844088,7735.44222398092,7965.90956827012,7341.37183558452,7181.77679568051,1880.94154172584,4326.16554596945,4941.74641417063,0,341.989371222881,1286.9208730148,1382.20704202581,1573.15110762525,495.884588273178,3898.67883194085,5608.62568805525,526.137494189047,1162.7638621578,467.385474004604,4907.54747704835,906.271833740635,0,41.0387245467458,0,222.293091294873,2975.30752963907,1453.45482769725,0,91.197165659435,34.1989371222881,0,1761.24526179784,74.0976970982909,0,0,478.785119712034,119.696279928008,0,56.9982285371468,0,0,0,0,0,0,290.690965539449,0,0,0,0
"433946R202b",168966.594542551,10542.3557097985,49586.3575994868,10554.8284376984,7228.84501464617,8944.1641706639,72.9302362252436,15463.4778191769,8335.92600054537,6343.10729569058,8780.80044151934,1378.3814646571,3331.08853958801,5015.77699639115,0,559.599312574466,2514.01157649934,1729.35822649109,1033.78609849283,459.460488219036,2795.05130333246,3867.12577584355,117.810381594625,872.974927616168,344.595366164276,4537.17232116298,612.613984292048,0,367.568390575229,0,229.730244109518,3867.12577584355,689.190732328554,0,89.3395393759235,0,0,2144.14894502216,178.679078751847,0,0,804.055854383312,0,0,0,0,0,0,0,0,0,344.595366164277,0,0,0,0
